"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_bad_rate","gini_model","gini_logistic","gini_probit","diff.logistic","diff.probit"
"35",0.603143233268056,0.120217839814723,0.745106310024857,0.4875319087971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0.109165933413897,0.439090781100094,0.838751682825387,0.460120730779599,0.934723360493986,0.468164794007491,0.802157174776165,0.0916753387480337,0.466,0.924594629427814,0.927585153750944,0.927352075999421,0.00299052432313074,0.00275744657160781
"37",0.293541434642393,0.842483380436897,0.849621785804629,0.411765728292521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.961780845872127,0.328075368888676,0.575075973197818,0.379940813316498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.888536141524091,0.601986506953835,0.121453840099275,0.354099672283046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.911125498269685,0.610926171205938,0.873771852999926,0.470146174945403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0.572041231126059,0.203684766590595,0.296175805851817,0.0823817846295424,0.298971324204716,0.142805156997297,0.28431066749844,0.509807588410947,0.084,NA,0.284154709918902,0.283868787689748,NA,NA
"42",0.956978139281273,0.132277444936335,0.40026699192822,0.386462864058558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0.238856963810977,0.137405074387789,0.810913178138435,0.0550578434765339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.719868709808215,0.436651009134948,0.390777526423335,0.0240599815547466,0.448794179169121,0.226914690044947,0.17004138667616,0.75878625300738,0.023,NA,0.227003693649593,0.228872769347159,NA,NA
"45",0.386272258213721,0.434886598400772,0.814534812606871,0.342878655178938,0.82983533168969,0.483968913151891,0.805826356739676,0.450155815230676,0.347,0.822478369064422,0.821325648414986,0.821352127842677,-0.00115272064943595,-0.00112624122174454
"46",0.863262656978331,0.613300309702754,0.197621958516538,0.336227101869881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",0.808059581473935,0.684483223222196,0.550904248654842,0.420746384905651,0.684593234047411,0.672051038414551,0.539453171596514,0.808895764255468,0.417,0.672097616745925,0.672207345615789,0.672281385869006,0.00010972886986349,0.000183769123081268
"48",0.0119212939054705,0.165687977895141,0.325203526392579,0.414985406019259,0.364773525324177,0.25761810218732,0.280060363106002,-0.0168347037738197,0.387,NA,NA,NA,NA,NA
"49",0.850477933818474,0.302887760475278,0.816380217298865,0.229963241904043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",0.831140082918573,0.624839514121413,0.71781154461205,0.233880384552758,0.720083590816831,0.592397432561367,0.708994708994709,0.823394998567035,0.244,0.709353381196308,0.709211553473849,0.709482609072773,-0.000141827722459187,0.000129227876465299
"51",0.661030434498098,0.650713095627725,0.187436958961189,0.311358021225315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0.892808757510502,0.419660814292729,0.163698871061206,0.19786919657141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",0.899762479872443,0.588441996835172,0.343559928052127,0.399582358577754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",0.645246916268952,0.512399943545461,0.574621940404177,0.465023948950693,0.607691151952911,0.512914184195679,0.56184203681993,0.640470189364141,0.491,0.600161035101296,0.599334184275705,0.599294171311505,-0.000826850825590641,-0.000866863789791061
"55",0.15694072258193,0.600667347572744,0.23543198350817,0.418611443554983,0.620652505898425,0.626847549821113,0.206901296725,0.155592181735597,0.446,0.638903066791563,0.642583089151867,0.642566900325395,0.00368002236030485,0.00366383353383282
"56",0.358874676190317,0.530819869786501,0.504870131239295,0.180286065943073,0.629153567687115,0.525025755494505,0.503119276556776,0.366018102527265,0.168,0.622147830185861,0.64082532051282,0.640467605311355,0.0186774903269591,0.018319775125494
"57",0.413226129000541,0.816629509069026,0.235622815787792,0.281978424976114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0.192626965118106,0.27695728354156,0.112086169421673,0.384783072285354,0.283591851016392,0.345136336704633,0.123384614109741,0.253990453628155,0.407,0.347295101108753,0.348973072413207,0.348906778923642,0.00167797130445413,0.00161167781488913
"59",0.557701062981505,0.44952285271138,0.774412202835083,0.405585418702103,0.775733258989548,0.435343124341412,0.763254083245522,0.558148271873295,0.416,0.76400979871389,0.763599841938883,0.76350105374078,-0.000409956775006881,-0.000508744973110042
"60",0.0206873611779884,0.66120990999043,0.598982685059309,0.174459054861218,0.880357870321152,0.689265225066196,0.583227603706973,0.0316287589732435,0.176,0.886662173070555,0.887204876434245,0.886998014121801,0.000542703363690666,0.000335841051245955
"61",0.63934082172811,0.774859685823321,0.686444875411689,0.284783579283394,0.819522889982084,0.752024225201667,0.679126925344257,0.620552657543857,0.273,0.804814229903887,0.807437862458495,0.807447939497458,0.00262363255460785,0.00263370959357068
